logT  -8.0   -7.5   -7.0   -6.5   -6.0   -5.5   -5.0   -4.5   -4.0   -3.5   -3.0   -2.5   -2.0   -1.5   -1.0   -0.5    0.0    0.5    1.0
7.20 -0.486 -0.486 -0.486 -0.486 -0.486 -0.486 -0.485 -0.482 -0.473 -0.455 -0.422 -0.360 -0.257 -0.102  0.118  0.401  0.701  0.964 9.999
7.30 -0.490 -0.490 -0.490 -0.490 -0.490 -0.490 -0.489 -0.487 -0.479 -0.465 -0.434 -0.377 -0.285 -0.145  0.059  0.318  0.611 9.999 9.999
7.40 -0.495 -0.495 -0.495 -0.495 -0.495 -0.495 -0.494 -0.492 -0.487 -0.474 -0.447 -0.396 -0.315 -0.188 -0.001  0.239  0.508 9.999 9.999
7.50 -0.501 -0.501 -0.501 -0.501 -0.501 -0.501 -0.501 -0.499 -0.495 -0.485 -0.461 -0.417 -0.345 -0.233 -0.066  0.161 9.999 9.999 9.999
7.60 -0.508 -0.508 -0.508 -0.508 -0.509 -0.509 -0.508 -0.507 -0.504 -0.495 -0.475 -0.437 -0.376 -0.279 -0.131  0.074 9.999 9.999 9.999
7.70 -0.518 -0.518 -0.518 -0.518 -0.518 -0.518 -0.518 -0.517 -0.514 -0.507 -0.489 -0.459 -0.409 -0.328 -0.199 -0.018 9.999 9.999 9.999
7.80 -0.530 -0.530 -0.530 -0.530 -0.530 -0.530 -0.530 -0.529 -0.527 -0.520 -0.506 -0.483 -0.445 -0.380 -0.273 -0.126 9.999 9.999 9.999
7.90 -0.544 -0.544 -0.544 -0.544 -0.545 -0.545 -0.545 -0.545 -0.543 -0.537 -0.526 -0.510 -0.486 -0.438 -0.351 9.999 9.999 9.999 9.999
8.00 -0.560 -0.560 -0.560 -0.560 -0.560 -0.561 -0.561 -0.561 -0.558 -0.554 -0.548 -0.539 -0.528 -0.498 -0.431 9.999 9.999 9.999 9.999
8.10 -0.580 -0.580 -0.580 -0.580 -0.580 -0.580 -0.581 -0.581 -0.579 -0.576 -0.573 -0.574 -0.576 -0.565 -0.525 9.999 9.999 9.999 9.999
8.30 -0.633 -0.633 -0.633 -0.633 -0.634 -0.634 -0.634 -0.634 -0.633 -0.634 -0.640 -0.659 -0.689 -0.715 -0.732 9.999 9.999 9.999 9.999
8.50 -0.704 -0.704 -0.704 -0.704 -0.704 -0.704 -0.704 -0.704 -0.705 -0.710 -0.726 -0.764 -0.807 -0.926 -1.275 9.999 9.999 9.999 9.999
8.70 -0.582 -0.753 -0.785 -0.789 -0.789 -0.789 -0.789 -0.789 -0.792 -0.801 -0.828 -0.886 -0.969 -1.060 9.999 9.999 9.999 9.999 9.999
