,Lagrangian mass,Radius,Density,Temperature,Pressure,Luminosity,E generation rate,Opacity,Adiabatic temperature gradient,Actual temperature gradient,Energy transport
30,1.3262043288315258e+31,13981329895.557846,1.4570845471867035,6534560.26156922,1291331998723346.2,3.63463964932958e+30,0.008938559552560817,1.2324634042755769,0.4,0.4,c
31,1.3404180894578677e+31,14078301305.806807,1.4609757793415075,6516935.487195663,1291239098336416.2,3.7247634747403124e+30,0.008834158990020541,1.2353323092715869,0.4,0.4,c
32,1.3547841878399658e+31,14176282996.427652,1.464891339957743,6499289.657236085,1291145202277978.8,3.8133346450701936e+30,0.00873044367589568,1.2382192754944896,0.4,0.4,c
33,1.3693042566767655e+31,14275256070.719486,1.4688310327292915,6481624.607687132,1291050299876800.8,3.9003955310276213e+30,0.008627424679174477,1.2411237181899626,0.4,0.4,c
34,1.3839799461658675e+31,14375203169.725101,1.4727946506255096,6463942.194525307,1290954380347277.8,3.9859856989303934e+30,0.008525112818612665,1.244045089500553,0.4,0.4,c
35,1.398812924191038e+31,14476108353.098724,1.4767819747540822,6446244.297381235,1290857432788209.2,4.0701422162197303e+30,0.008423518680609704,1.2469828751228278,0.4,0.4,c
36,1.4138048765118295e+31,14577956992.012436,1.4807927735561455,6428532.821651688,1290759446181560.8,4.152899917286036e+30,0.008322652627446863,1.2499365913368827,0.4,0.4,c
37,1.4289575069551218e+31,14680735672.535255,1.4848268022636106,6410809.699402603,1290660409391209.2,4.2342916356167004e+30,0.008222524798368611,1.252905782355744,0.4,0.4,c
38,1.444272537608784e+31,14784432108.169142,1.4888838025638143,6393076.889338979,1290560311161680.2,4.3143484072207803e+30,0.008123145105427748,1.255890017951269,0.4,0.4,c
39,1.459751709017342e+31,14889035060.429834,1.4929635024282601,6375336.376058163,1290459140116866.5,4.3930996494400266e+30,0.00802452322558532,1.2588888913204392,0.4,0.4,c
40,1.4753967803798605e+31,14994534266.52721,1.4970656160712499,6357590.168757226,1290356884758736.0,4.470573318574088e+30,0.007926668590224997,1.2619020171617379,0.4,0.4,c
41,1.49120952974984e+31,15100920373.337227,1.5011898440111877,6339840.299529451,1290253533466025.5,4.5467960491945435e+30,0.00782959037298473,1.2649290299360614,0.4,0.4,c
